Crop_Name,Soil_Type,Rainfall_Requirement,Temperature_Range,Previous_Crop,Next_Crop,Month_Planted,Month_Harvested,Growth_Duration,Region
Vegetables,Alluvial,500-1500 mm,29 - 30°C,Rice,Rice,March-May,June-July,133 days,Punjab
Ragi,Red,400-1000 mm,29 - 41°C,Groundnut,Rice,March-May,June-July,116 days,Karnataka
Ragi,Red,400-1000 mm,25 - 36°C,Lentils,Bajra,October-December,March-April,172 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,23 - 36°C,Wheat,Ragi,March-May,June-July,156 days,Karnataka
Groundnut,Black,600-1100 mm,24 - 36°C,Pulses,Rice,June-July,September-October,153 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,17 - 30°C,Rice,Cotton,March-May,June-July,134 days,Punjab
Rice,Black,600-1100 mm,20 - 38°C,Rice,Groundnut,June-July,September-October,97 days,Andhra Pradesh
Rice,Black,600-1100 mm,26 - 45°C,Bengal Gram,Cotton,June-July,September-October,177 days,Telangana
Millets,Red,400-1000 mm,21 - 33°C,Rice,Jowar,October-December,March-April,129 days,Telangana
Jowar,Black,600-1100 mm,17 - 35°C,Bengal Gram,Red Gram,October-December,March-April,175 days,Telangana
Groundnut,Red,400-1000 mm,27 - 42°C,Bengal Gram,Red Gram,March-May,June-July,170 days,Telangana
Coffee,Laterite,1500-3000 mm,16 - 40°C,Sugarcane,Groundnut,June-July,September-October,133 days,Tamil Nadu
Groundnut,Red,400-1000 mm,24 - 45°C,Pulses,Pulses,October-December,March-April,107 days,Uttar Pradesh
Jowar,Red,400-1000 mm,22 - 31°C,Red Gram,Bengal Gram,October-December,March-April,169 days,Telangana
Wheat,Alluvial,500-1500 mm,18 - 43°C,Bajra,Bajra,October-December,March-April,141 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,23 - 31°C,Sugarcane,Millets,March-May,June-July,169 days,Tamil Nadu
Millets,Red,400-1000 mm,27 - 38°C,Bajra,Barley,June-July,September-October,117 days,Uttar Pradesh
Rice,Black,600-1100 mm,18 - 31°C,Pulses,Groundnut,March-May,June-July,93 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,30 - 43°C,Maize,Cotton,October-December,March-April,107 days,Punjab
Vegetables,Alluvial,500-1500 mm,28 - 42°C,Barley,Lentils,June-July,September-October,97 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,19 - 32°C,Lentils,Rice,June-July,September-October,112 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,21 - 34°C,Rice,Barley,March-May,June-July,139 days,Punjab
Pulses,Red,400-1000 mm,18 - 41°C,Rice,Groundnut,October-December,March-April,97 days,Andhra Pradesh
Pulses,Red,400-1000 mm,17 - 39°C,Rice,Pulses,June-July,September-October,162 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,20 - 34°C,Mustard,Wheat,March-May,June-July,102 days,Punjab
Wheat,Alluvial,500-1500 mm,16 - 40°C,Barley,Rice,October-December,March-April,165 days,Punjab
Wheat,Alluvial,500-1500 mm,29 - 45°C,Pulses,Wheat,October-December,March-April,135 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,27 - 44°C,Mustard,Wheat,March-May,June-July,95 days,Punjab
Cotton,Red,400-1000 mm,16 - 38°C,Red Gram,Bengal Gram,March-May,June-July,155 days,Telangana
Vegetables,Alluvial,500-1500 mm,28 - 41°C,Maize,Mustard,March-May,June-July,102 days,Punjab
Rice,Black,600-1100 mm,23 - 32°C,Cotton,Red Gram,March-May,June-July,101 days,Telangana
Jowar,Red,400-1000 mm,27 - 33°C,Jowar,Rice,June-July,September-October,120 days,Karnataka
Oilseeds,Alluvial,500-1500 mm,23 - 31°C,Mustard,Wheat,October-December,March-April,97 days,Punjab
Millets,Red,400-1000 mm,26 - 31°C,Lentils,Lentils,June-July,September-October,170 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,21 - 35°C,Maize,Barley,October-December,March-April,162 days,Punjab
Rice,Black,600-1100 mm,25 - 31°C,Pulses,Rice,June-July,September-October,178 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,30 - 30°C,Bajra,Wheat,June-July,September-October,133 days,Uttar Pradesh
Rice,Black,600-1100 mm,26 - 45°C,Cotton,Cotton,June-July,September-October,118 days,Telangana
Millets,Red,400-1000 mm,18 - 35°C,Maize,Millets,March-May,June-July,156 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,29 - 38°C,Rice,Ragi,June-July,September-October,165 days,Karnataka
Tea,Laterite,1500-3000 mm,17 - 35°C,Millets,Rice,June-July,September-October,94 days,Tamil Nadu
Cotton,Black,600-1100 mm,28 - 44°C,Jowar,Rice,March-May,June-July,110 days,Karnataka
Groundnut,Black,600-1100 mm,29 - 38°C,Wheat,Pulses,June-July,September-October,136 days,Karnataka
Jowar,Black,600-1100 mm,20 - 35°C,Jowar,Bengal Gram,June-July,September-October,144 days,Telangana
Groundnut,Black,600-1100 mm,20 - 32°C,Pulses,Wheat,October-December,March-April,155 days,Karnataka
Millets,Red,400-1000 mm,19 - 38°C,Pulses,Sugarcane,June-July,September-October,132 days,Tamil Nadu
Sugarcane,Black,600-1100 mm,16 - 34°C,Maize,Groundnut,March-May,June-July,122 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,21 - 36°C,Rice,Rice,October-December,March-April,138 days,Punjab
Sugarcane,Alluvial,500-1500 mm,30 - 34°C,Bajra,Bajra,March-May,June-July,94 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,26 - 37°C,Barley,Rice,October-December,March-April,162 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,30 - 31°C,Sugarcane,Rice,March-May,June-July,139 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,17 - 32°C,Groundnut,Ragi,June-July,September-October,105 days,Karnataka
Rice,Black,600-1100 mm,27 - 45°C,Rice,Millets,June-July,September-October,175 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,22 - 44°C,Wheat,Lentils,June-July,September-October,178 days,Uttar Pradesh
Rice,Black,600-1100 mm,16 - 31°C,Jowar,Jowar,June-July,September-October,109 days,Telangana
Groundnut,Black,600-1100 mm,30 - 43°C,Rice,Cotton,March-May,June-July,144 days,Telangana
Groundnut,Black,600-1100 mm,26 - 30°C,Groundnut,Millets,June-July,September-October,138 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,15 - 35°C,Rice,Cotton,October-December,March-April,101 days,Punjab
Pulses,Red,400-1000 mm,19 - 45°C,Bajra,Rice,October-December,March-April,99 days,Uttar Pradesh
Millets,Red,400-1000 mm,20 - 35°C,Barley,Bajra,June-July,September-October,125 days,Uttar Pradesh
Jowar,Red,400-1000 mm,16 - 32°C,Groundnut,Rice,March-May,June-July,172 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,17 - 31°C,Rice,Barley,June-July,September-October,103 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,25 - 30°C,Bajra,Bajra,March-May,June-July,126 days,Uttar Pradesh
Cotton,Black,600-1100 mm,29 - 43°C,Rice,Red Gram,June-July,September-October,148 days,Telangana
Groundnut,Black,600-1100 mm,26 - 32°C,Pulses,Rice,June-July,September-October,139 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,16 - 31°C,Mustard,Maize,March-May,June-July,177 days,Punjab
Groundnut,Red,400-1000 mm,15 - 43°C,Pulses,Ragi,October-December,March-April,126 days,Karnataka
Oilseeds,Alluvial,500-1500 mm,21 - 43°C,Lentils,Rice,March-May,June-July,168 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,23 - 31°C,Groundnut,Millets,June-July,September-October,118 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,25 - 30°C,Wheat,Groundnut,June-July,September-October,164 days,Karnataka
Millets,Red,400-1000 mm,27 - 41°C,Pulses,Maize,October-December,March-April,143 days,Andhra Pradesh
Rice,Black,600-1100 mm,28 - 40°C,Bengal Gram,Cotton,June-July,September-October,94 days,Telangana
Pulses,Red,400-1000 mm,19 - 40°C,Jowar,Pulses,October-December,March-April,177 days,Karnataka
Coffee,Laterite,1500-3000 mm,29 - 30°C,Pulses,Wheat,March-May,June-July,100 days,Karnataka
Vegetables,Alluvial,500-1500 mm,28 - 36°C,Wheat,Maize,March-May,June-July,172 days,Punjab
Jowar,Red,400-1000 mm,27 - 44°C,Wheat,Lentils,October-December,March-April,157 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,29 - 39°C,Groundnut,Pulses,March-May,June-July,144 days,Karnataka
Rice,Alluvial,500-1500 mm,22 - 34°C,Maize,Cotton,June-July,September-October,131 days,Punjab
Vegetables,Alluvial,500-1500 mm,18 - 37°C,Mustard,Rice,March-May,June-July,156 days,Punjab
Millets,Red,400-1000 mm,16 - 34°C,Lentils,Rice,June-July,September-October,152 days,Uttar Pradesh
Jowar,Red,400-1000 mm,28 - 42°C,Maize,Maize,March-May,June-July,123 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,24 - 31°C,Sugarcane,Groundnut,October-December,March-April,166 days,Tamil Nadu
Cotton,Black,600-1100 mm,27 - 41°C,Jowar,Wheat,October-December,March-April,151 days,Karnataka
Jowar,Red,400-1000 mm,26 - 30°C,Sugarcane,Rice,March-May,June-July,129 days,Tamil Nadu
Sugarcane,Black,600-1100 mm,28 - 36°C,Bengal Gram,Cotton,October-December,March-April,149 days,Telangana
Sugarcane,Alluvial,500-1500 mm,19 - 35°C,Wheat,Cotton,March-May,June-July,117 days,Punjab
Millets,Red,400-1000 mm,30 - 31°C,Rice,Rice,March-May,June-July,91 days,Telangana
Rice,Black,600-1100 mm,20 - 38°C,Maize,Rice,October-December,March-April,91 days,Andhra Pradesh
Millets,Red,400-1000 mm,19 - 42°C,Groundnut,Rice,June-July,September-October,96 days,Tamil Nadu
Maize,Alluvial,500-1500 mm,26 - 37°C,Cotton,Cotton,June-July,September-October,116 days,Punjab
Jowar,Red,400-1000 mm,30 - 36°C,Red Gram,Cotton,October-December,March-April,101 days,Telangana
Pulses,Red,400-1000 mm,26 - 43°C,Rice,Wheat,June-July,September-October,151 days,Uttar Pradesh
Maize,Alluvial,500-1500 mm,21 - 44°C,Cotton,Mustard,June-July,September-October,154 days,Punjab
Jowar,Red,400-1000 mm,16 - 40°C,Sugarcane,Sugarcane,March-May,June-July,91 days,Tamil Nadu
Sugarcane,Black,600-1100 mm,22 - 42°C,Cotton,Bengal Gram,March-May,June-July,170 days,Telangana
Jowar,Red,400-1000 mm,20 - 43°C,Rice,Rice,October-December,March-April,163 days,Telangana
Rice,Black,600-1100 mm,28 - 32°C,Millets,Maize,June-July,September-October,144 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,17 - 44°C,Maize,Rice,March-May,June-July,131 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,25 - 32°C,Lentils,Lentils,October-December,March-April,168 days,Uttar Pradesh
Rubber,Laterite,1500-3000 mm,21 - 36°C,Millets,Millets,June-July,September-October,169 days,Tamil Nadu
Groundnut,Black,600-1100 mm,15 - 41°C,Maize,Groundnut,October-December,March-April,159 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,15 - 38°C,Cotton,Rice,June-July,September-October,107 days,Punjab
Wheat,Alluvial,500-1500 mm,30 - 42°C,Barley,Wheat,June-July,September-October,162 days,Punjab
Groundnut,Black,600-1100 mm,30 - 32°C,Pulses,Pulses,March-May,June-July,164 days,Karnataka
Rice,Black,600-1100 mm,19 - 32°C,Pulses,Rice,March-May,June-July,161 days,Andhra Pradesh
Jowar,Red,400-1000 mm,26 - 36°C,Millets,Millets,June-July,September-October,146 days,Tamil Nadu
Groundnut,Red,400-1000 mm,30 - 45°C,Bajra,Barley,October-December,March-April,140 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,15 - 42°C,Rice,Wheat,March-May,June-July,119 days,Karnataka
Pulses,Red,400-1000 mm,29 - 32°C,Millets,Pulses,October-December,March-April,105 days,Tamil Nadu
Jowar,Red,400-1000 mm,26 - 45°C,Bengal Gram,Red Gram,March-May,June-July,124 days,Telangana
Pulses,Red,400-1000 mm,15 - 44°C,Maize,Pulses,October-December,March-April,180 days,Andhra Pradesh
Jowar,Red,400-1000 mm,26 - 42°C,Wheat,Wheat,June-July,September-October,123 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,30 - 45°C,Rice,Rice,October-December,March-April,123 days,Punjab
Cotton,Red,400-1000 mm,26 - 31°C,Pulses,Ragi,June-July,September-October,134 days,Karnataka
Vegetables,Alluvial,500-1500 mm,24 - 38°C,Pulses,Rice,June-July,September-October,118 days,Uttar Pradesh
Maize,Alluvial,500-1500 mm,23 - 34°C,Barley,Mustard,June-July,September-October,151 days,Punjab
Cashew,Laterite,1500-3000 mm,18 - 38°C,Jowar,Jowar,June-July,September-October,150 days,Karnataka
Maize,Alluvial,500-1500 mm,17 - 32°C,Cotton,Mustard,October-December,March-April,153 days,Punjab
Cotton,Red,400-1000 mm,27 - 41°C,Maize,Maize,June-July,September-October,106 days,Andhra Pradesh
Jowar,Red,400-1000 mm,15 - 30°C,Rice,Red Gram,March-May,June-July,120 days,Telangana
Groundnut,Red,400-1000 mm,19 - 38°C,Ragi,Jowar,June-July,September-October,166 days,Karnataka
Cashew,Laterite,1500-3000 mm,16 - 36°C,Groundnut,Rice,June-July,September-October,143 days,Karnataka
Cotton,Black,600-1100 mm,19 - 44°C,Pulses,Rice,October-December,March-April,110 days,Karnataka
Rice,Alluvial,500-1500 mm,21 - 45°C,Rice,Cotton,June-July,September-October,131 days,Punjab
Rice,Alluvial,500-1500 mm,26 - 40°C,Barley,Bajra,June-July,September-October,114 days,Uttar Pradesh
Millets,Red,400-1000 mm,26 - 43°C,Red Gram,Rice,June-July,September-October,108 days,Telangana
Millets,Red,400-1000 mm,27 - 42°C,Rice,Groundnut,October-December,March-April,135 days,Andhra Pradesh
Rice,Black,600-1100 mm,28 - 34°C,Millets,Pulses,June-July,September-October,147 days,Andhra Pradesh
Spices,Laterite,1500-3000 mm,22 - 44°C,Wheat,Groundnut,March-May,June-July,175 days,Karnataka
Rice,Black,600-1100 mm,20 - 35°C,Rice,Maize,June-July,September-October,121 days,Andhra Pradesh
Cotton,Red,400-1000 mm,25 - 43°C,Sugarcane,Sugarcane,June-July,September-October,165 days,Tamil Nadu
Jowar,Red,400-1000 mm,18 - 32°C,Lentils,Lentils,June-July,September-October,105 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,27 - 45°C,Barley,Barley,October-December,March-April,173 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,23 - 34°C,Bajra,Wheat,March-May,June-July,124 days,Uttar Pradesh
Rice,Black,600-1100 mm,16 - 32°C,Maize,Maize,March-May,June-July,163 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,30 - 34°C,Pulses,Sugarcane,October-December,March-April,176 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,20 - 31°C,Maize,Rice,October-December,March-April,116 days,Punjab
Wheat,Alluvial,500-1500 mm,18 - 40°C,Wheat,Mustard,October-December,March-April,153 days,Punjab
Vegetables,Alluvial,500-1500 mm,23 - 32°C,Mustard,Maize,March-May,June-July,108 days,Punjab
Ragi,Red,400-1000 mm,19 - 37°C,Red Gram,Rice,October-December,March-April,128 days,Telangana
Sugarcane,Alluvial,500-1500 mm,23 - 39°C,Wheat,Cotton,March-May,June-July,173 days,Punjab
Rice,Alluvial,500-1500 mm,22 - 33°C,Barley,Barley,October-December,March-April,176 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,30 - 36°C,Rice,Groundnut,October-December,March-April,152 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,29 - 38°C,Maize,Wheat,October-December,March-April,94 days,Punjab
Sugarcane,Alluvial,500-1500 mm,27 - 40°C,Wheat,Mustard,March-May,June-July,91 days,Punjab
Rice,Alluvial,500-1500 mm,21 - 44°C,Rice,Wheat,October-December,March-April,137 days,Punjab
Ragi,Red,400-1000 mm,18 - 36°C,Groundnut,Rice,June-July,September-October,153 days,Andhra Pradesh
Cashew,Laterite,1500-3000 mm,25 - 39°C,Jowar,Ragi,June-July,September-October,161 days,Karnataka
Oilseeds,Alluvial,500-1500 mm,25 - 43°C,Barley,Bajra,October-December,March-April,130 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,26 - 39°C,Sugarcane,Groundnut,March-May,June-July,155 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,20 - 45°C,Wheat,Barley,March-May,June-July,142 days,Punjab
Rice,Black,600-1100 mm,16 - 38°C,Cotton,Red Gram,June-July,September-October,145 days,Telangana
Groundnut,Black,600-1100 mm,23 - 42°C,Pulses,Pulses,October-December,March-April,90 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,24 - 42°C,Barley,Lentils,March-May,June-July,127 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,19 - 39°C,Millets,Rice,October-December,March-April,121 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,27 - 30°C,Cotton,Wheat,March-May,June-July,121 days,Punjab
Pulses,Red,400-1000 mm,27 - 39°C,Pulses,Rice,October-December,March-April,150 days,Tamil Nadu
Rice,Black,600-1100 mm,23 - 37°C,Rice,Pulses,June-July,September-October,166 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,19 - 38°C,Red Gram,Bengal Gram,March-May,June-July,178 days,Telangana
Coffee,Laterite,1500-3000 mm,20 - 33°C,Rice,Rice,June-July,September-October,144 days,Tamil Nadu
Jowar,Red,400-1000 mm,19 - 41°C,Red Gram,Jowar,October-December,March-April,96 days,Telangana
Cotton,Red,400-1000 mm,26 - 32°C,Lentils,Rice,October-December,March-April,130 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,18 - 44°C,Pulses,Ragi,June-July,September-October,116 days,Karnataka
Jowar,Black,600-1100 mm,22 - 35°C,Bengal Gram,Jowar,October-December,March-April,174 days,Telangana
Millets,Red,400-1000 mm,23 - 31°C,Pulses,Ragi,June-July,September-October,157 days,Karnataka
Jowar,Black,600-1100 mm,19 - 41°C,Bengal Gram,Jowar,October-December,March-April,176 days,Telangana
Jowar,Red,400-1000 mm,30 - 38°C,Wheat,Rice,June-July,September-October,176 days,Uttar Pradesh
Jowar,Red,400-1000 mm,30 - 33°C,Ragi,Wheat,March-May,June-July,161 days,Karnataka
Rice,Alluvial,500-1500 mm,23 - 33°C,Maize,Wheat,June-July,September-October,115 days,Punjab
Sugarcane,Alluvial,500-1500 mm,17 - 33°C,Lentils,Wheat,June-July,September-October,112 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,19 - 38°C,Rice,Millets,October-December,March-April,91 days,Tamil Nadu
Groundnut,Black,600-1100 mm,16 - 40°C,Jowar,Red Gram,March-May,June-July,161 days,Telangana
Ragi,Red,400-1000 mm,29 - 36°C,Rice,Sugarcane,June-July,September-October,180 days,Tamil Nadu
Groundnut,Black,600-1100 mm,26 - 40°C,Groundnut,Rice,March-May,June-July,114 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,20 - 30°C,Rice,Barley,October-December,March-April,173 days,Uttar Pradesh
Cotton,Black,600-1100 mm,29 - 38°C,Groundnut,Millets,June-July,September-October,111 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,18 - 41°C,Wheat,Barley,June-July,September-October,154 days,Punjab
Wheat,Alluvial,500-1500 mm,19 - 33°C,Maize,Maize,October-December,March-April,138 days,Punjab
Groundnut,Red,400-1000 mm,29 - 36°C,Sugarcane,Pulses,October-December,March-April,179 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,22 - 31°C,Sugarcane,Pulses,March-May,June-July,177 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,15 - 32°C,Ragi,Wheat,March-May,June-July,152 days,Karnataka
Rice,Alluvial,500-1500 mm,20 - 41°C,Maize,Mustard,June-July,September-October,110 days,Punjab
Oilseeds,Alluvial,500-1500 mm,17 - 40°C,Bajra,Barley,March-May,June-July,144 days,Uttar Pradesh
Cotton,Black,600-1100 mm,27 - 45°C,Rice,Rice,June-July,September-October,105 days,Telangana
Tea,Laterite,1500-3000 mm,24 - 40°C,Pulses,Millets,June-July,September-October,157 days,Tamil Nadu
Pulses,Red,400-1000 mm,24 - 39°C,Wheat,Barley,March-May,June-July,122 days,Uttar Pradesh
Millets,Red,400-1000 mm,30 - 43°C,Pulses,Groundnut,October-December,March-April,103 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,30 - 31°C,Maize,Maize,March-May,June-July,176 days,Punjab
Ragi,Red,400-1000 mm,21 - 44°C,Groundnut,Wheat,October-December,March-April,111 days,Karnataka
Groundnut,Black,600-1100 mm,30 - 31°C,Groundnut,Pulses,March-May,June-July,167 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,25 - 43°C,Jowar,Cotton,March-May,June-July,120 days,Telangana
Jowar,Black,600-1100 mm,24 - 42°C,Bengal Gram,Rice,March-May,June-July,124 days,Telangana
Pulses,Red,400-1000 mm,30 - 41°C,Lentils,Pulses,March-May,June-July,117 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,20 - 33°C,Groundnut,Pulses,June-July,September-October,90 days,Tamil Nadu
Pulses,Red,400-1000 mm,26 - 31°C,Lentils,Barley,October-December,March-April,121 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,25 - 30°C,Groundnut,Wheat,October-December,March-April,108 days,Karnataka
Vegetables,Alluvial,500-1500 mm,28 - 38°C,Bajra,Rice,October-December,March-April,145 days,Uttar Pradesh
Rice,Black,600-1100 mm,19 - 36°C,Pulses,Ragi,October-December,March-April,131 days,Karnataka
Pulses,Red,400-1000 mm,26 - 30°C,Groundnut,Groundnut,March-May,June-July,157 days,Karnataka
Millets,Red,400-1000 mm,17 - 35°C,Groundnut,Rice,March-May,June-July,176 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,22 - 37°C,Barley,Rice,June-July,September-October,94 days,Punjab
Rice,Black,600-1100 mm,27 - 34°C,Pulses,Wheat,June-July,September-October,147 days,Karnataka
Cotton,Red,400-1000 mm,26 - 36°C,Rice,Rice,March-May,June-July,161 days,Telangana
Cotton,Red,400-1000 mm,27 - 42°C,Sugarcane,Groundnut,March-May,June-July,152 days,Tamil Nadu
Jowar,Red,400-1000 mm,22 - 42°C,Cotton,Rice,October-December,March-April,120 days,Telangana
Pulses,Red,400-1000 mm,28 - 38°C,Ragi,Jowar,March-May,June-July,150 days,Karnataka
Rice,Black,600-1100 mm,15 - 37°C,Bengal Gram,Cotton,March-May,June-July,91 days,Telangana
Sugarcane,Black,600-1100 mm,29 - 34°C,Groundnut,Wheat,March-May,June-July,93 days,Karnataka
Vegetables,Alluvial,500-1500 mm,22 - 38°C,Pulses,Wheat,June-July,September-October,151 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,21 - 30°C,Lentils,Wheat,March-May,June-July,92 days,Uttar Pradesh
Pulses,Red,400-1000 mm,26 - 43°C,Bengal Gram,Bengal Gram,October-December,March-April,156 days,Telangana
Wheat,Alluvial,500-1500 mm,19 - 44°C,Wheat,Wheat,October-December,March-April,119 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,26 - 34°C,Ragi,Pulses,March-May,June-July,133 days,Karnataka
Sugarcane,Black,600-1100 mm,26 - 33°C,Groundnut,Maize,March-May,June-July,149 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,22 - 35°C,Rice,Wheat,June-July,September-October,100 days,Karnataka
Wheat,Alluvial,500-1500 mm,17 - 38°C,Lentils,Bajra,October-December,March-April,175 days,Uttar Pradesh
Pulses,Red,400-1000 mm,20 - 33°C,Wheat,Jowar,March-May,June-July,111 days,Karnataka
Millets,Red,400-1000 mm,23 - 36°C,Wheat,Barley,March-May,June-July,122 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,29 - 38°C,Mustard,Barley,October-December,March-April,148 days,Punjab
Pulses,Red,400-1000 mm,22 - 42°C,Rice,Wheat,October-December,March-April,139 days,Uttar Pradesh
Rice,Black,600-1100 mm,16 - 39°C,Cotton,Cotton,June-July,September-October,103 days,Telangana
Millets,Red,400-1000 mm,15 - 35°C,Rice,Groundnut,March-May,June-July,141 days,Andhra Pradesh
Rice,Black,600-1100 mm,29 - 40°C,Maize,Maize,June-July,September-October,104 days,Andhra Pradesh
Ragi,Red,400-1000 mm,21 - 45°C,Bajra,Lentils,March-May,June-July,90 days,Uttar Pradesh
Cotton,Red,400-1000 mm,25 - 35°C,Bengal Gram,Jowar,June-July,September-October,141 days,Telangana
Jowar,Black,600-1100 mm,20 - 31°C,Cotton,Cotton,June-July,September-October,123 days,Telangana
Spices,Laterite,1500-3000 mm,19 - 43°C,Wheat,Rice,March-May,June-July,131 days,Karnataka
Ragi,Red,400-1000 mm,25 - 39°C,Cotton,Rice,October-December,March-April,107 days,Telangana
Rubber,Laterite,1500-3000 mm,19 - 41°C,Jowar,Wheat,June-July,September-October,123 days,Karnataka
Pulses,Red,400-1000 mm,24 - 34°C,Groundnut,Millets,October-December,March-April,120 days,Tamil Nadu
Cotton,Black,600-1100 mm,26 - 32°C,Jowar,Cotton,June-July,September-October,178 days,Telangana
Sugarcane,Black,600-1100 mm,18 - 34°C,Pulses,Wheat,October-December,March-April,128 days,Karnataka
Wheat,Alluvial,500-1500 mm,18 - 35°C,Wheat,Wheat,June-July,September-October,98 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,20 - 39°C,Rice,Rice,October-December,March-April,94 days,Karnataka
Cotton,Red,400-1000 mm,21 - 42°C,Rice,Pulses,June-July,September-October,150 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,26 - 30°C,Barley,Barley,March-May,June-July,141 days,Punjab
Rice,Alluvial,500-1500 mm,27 - 30°C,Barley,Maize,June-July,September-October,138 days,Punjab
Wheat,Alluvial,500-1500 mm,16 - 34°C,Barley,Lentils,June-July,September-October,146 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,19 - 30°C,Millets,Sugarcane,March-May,June-July,141 days,Tamil Nadu
Groundnut,Black,600-1100 mm,15 - 39°C,Bengal Gram,Red Gram,October-December,March-April,176 days,Telangana
Groundnut,Red,400-1000 mm,27 - 39°C,Millets,Pulses,October-December,March-April,121 days,Tamil Nadu
Jowar,Black,600-1100 mm,23 - 37°C,Pulses,Wheat,June-July,September-October,158 days,Karnataka
Groundnut,Red,400-1000 mm,21 - 34°C,Bajra,Lentils,March-May,June-July,158 days,Uttar Pradesh
Ragi,Red,400-1000 mm,19 - 44°C,Sugarcane,Pulses,March-May,June-July,114 days,Tamil Nadu
Millets,Red,400-1000 mm,22 - 34°C,Wheat,Bajra,June-July,September-October,138 days,Uttar Pradesh
Jowar,Red,400-1000 mm,22 - 42°C,Pulses,Rice,June-July,September-October,122 days,Karnataka
Groundnut,Red,400-1000 mm,25 - 43°C,Jowar,Jowar,June-July,September-October,121 days,Telangana
Millets,Red,400-1000 mm,19 - 44°C,Maize,Millets,October-December,March-April,118 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,20 - 41°C,Bengal Gram,Jowar,June-July,September-October,117 days,Telangana
Ragi,Red,400-1000 mm,19 - 37°C,Wheat,Lentils,March-May,June-July,111 days,Uttar Pradesh
Pulses,Red,400-1000 mm,15 - 45°C,Rice,Rice,March-May,June-July,163 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,18 - 34°C,Maize,Barley,June-July,September-October,132 days,Punjab
Rice,Black,600-1100 mm,21 - 38°C,Maize,Rice,June-July,September-October,179 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,21 - 37°C,Barley,Barley,October-December,March-April,133 days,Punjab
Groundnut,Red,400-1000 mm,24 - 30°C,Bengal Gram,Rice,March-May,June-July,102 days,Telangana
